total,l1,l2,l3
1,4,13,5
2,4,13,5
3,4,13,5
4,4,13,5
5,4,13,5
6,4,13,5
7,4,13,5
8,4,13,5
9,4,13,5
10,4,13,5
11,4,13,5
12,4,13,5
13,4,13,5
14,4,13,5
15,4,13,5
16,4,13,5
17,4,13,5
18,4,13,5
19,4,13,5
20,4,13,5
21,4,13,5
22,4,13,5
23,4,13,5
24,4,13,5
25,4,13,5
26,4,13,5
27,4,13,5
28,4,13,5
29,4,13,5
30,4,13,5
31,4,13,5
32,4,13,5
33,4,13,5
34,4,13,5
35,4,13,5
36,4,13,5
37,4,13,5
38,4,13,5
39,4,13,5
40,4,13,5
41,4,13,5
42,4,13,5
43,4,13,5
44,4,13,5
45,4,13,5
46,4,13,5
47,4,13,5
48,4,13,5
49,4,13,5
50,4,13,5
51,4,13,5
52,4,13,5
53,4,13,5
54,4,13,5
55,4,13,5
56,4,13,5
57,4,13,5
58,4,13,5
59,4,13,5
60,4,13,5
61,4,13,5
62,4,13,5
63,4,13,5
64,4,13,5
65,4,13,5
66,4,13,5
67,4,13,5
68,4,13,5
69,4,13,5
70,4,13,5
71,4,13,5
72,4,13,5
73,4,13,5
74,4,13,5
75,4,13,5
76,4,13,5
77,4,13,5
78,4,13,5
79,4,13,5
80,4,13,5
81,4,13,5
82,4,13,5
83,4,13,5
84,4,13,5
85,4,13,5
86,4,13,5
87,4,13,5
88,4,13,5
89,4,13,5
90,4,13,5
91,4,13,5
92,4,13,5
93,4,13,5
94,4,13,5
95,4,13,5
96,4,13,5
97,4,13,5
98,4,13,5
99,4,13,5
100,4,13,5
101,4,13,5
102,4,13,5
103,4,13,5
104,4,13,5
105,4,13,5
106,4,13,5
107,4,13,5
108,4,13,5
109,4,13,5
110,4,13,5
111,4,13,5
112,4,13,5
113,4,13,5
114,4,13,5
115,4,13,5
116,4,13,5
117,4,13,5
118,4,13,5
119,4,13,5
120,4,13,5
121,4,13,5
122,4,13,5
123,4,13,5
124,4,13,5
125,4,13,5
126,4,13,5
127,4,13,5
128,4,13,5
129,4,13,5
130,4,13,5
131,4,13,5
132,4,13,5
133,4,13,5
134,4,13,5
135,4,13,5
136,4,13,5
137,4,13,5
138,4,13,5
139,4,13,5
140,4,13,5
141,4,13,5
142,4,13,5
143,4,13,5
144,4,13,5
145,4,13,5
146,4,13,5
147,4,13,5
148,4,13,5
149,4,13,5
150,4,13,5
151,4,13,5
152,4,13,5
153,4,13,5
154,4,13,5
155,4,13,5
156,4,13,5
157,4,13,5
158,4,13,5
159,4,13,5
160,4,13,5
161,4,13,5
162,4,13,5
163,4,13,5
164,4,13,5
165,4,13,5
166,4,13,5
167,4,13,5
168,4,13,5
169,4,13,5
170,4,13,5
171,4,13,5
172,4,13,5
173,4,13,5
174,4,13,5
175,4,13,5
176,4,13,5
177,4,13,5
178,4,13,5
179,4,13,5
180,4,13,5
181,4,13,5
182,4,13,5
183,4,13,5
184,4,13,5
185,4,13,5
186,4,13,5
187,4,13,5
188,4,13,5
189,4,13,5
190,4,13,5
191,4,13,5
192,4,13,5
193,4,13,5
194,4,13,5
195,4,13,5
196,4,13,5
197,4,13,5
198,4,13,5
199,4,13,5
200,4,13,5
201,4,13,5
202,4,13,5
203,4,13,5
204,4,13,5
205,4,13,5
206,4,13,5
207,4,13,5
208,4,13,5
209,4,13,5
210,4,13,5
211,4,13,5
212,4,13,5
213,4,13,5
214,4,13,5
215,4,13,5
216,4,13,5
217,4,13,5
218,4,13,5
219,4,13,5
220,4,13,5
221,4,13,5
222,4,13,5
223,4,13,5
224,4,13,5
225,4,13,5
226,4,13,5
227,4,13,5
228,4,13,5
229,4,13,5
230,4,13,5
231,4,13,5
232,4,13,5
233,4,13,5
234,4,13,5
235,4,13,5
236,4,13,5
237,4,13,5
238,4,13,5
239,4,13,5
240,4,13,5
241,4,13,5
242,4,13,5
243,4,13,5
244,4,13,5
245,4,13,5
246,4,13,5
247,4,13,5
248,4,13,5
249,4,13,5
250,4,13,5
251,4,13,5
252,4,13,5
253,4,13,5
254,4,13,5
255,4,13,5
256,4,13,5
257,4,13,5
258,4,13,5
259,4,13,5
260,4,13,5
261,4,13,5
262,4,13,5
263,4,13,5
264,4,13,5
265,4,13,5
266,4,13,5
267,4,13,5
268,4,13,5
269,4,13,5
270,4,13,5
271,4,13,5
272,4,13,5
273,4,13,5
274,4,13,5
275,4,13,5
276,4,13,5
277,4,13,5
278,4,13,5
279,4,13,5
280,4,13,5
281,4,13,5
282,4,13,5
283,4,13,5
284,4,13,5
285,4,13,5
286,4,13,5
287,4,13,5
288,3,19,5
289,3,19,5
290,3,19,5
291,3,19,5
292,3,19,5
293,3,19,5
294,3,19,5
295,3,19,5
296,3,19,5
297,3,19,5
298,3,19,5
299,3,19,5
300,3,19,5
301,3,19,5
302,3,19,5
303,3,19,5
304,3,19,5
305,3,19,5
306,3,19,5
307,3,19,5
308,3,19,5
309,3,19,5
310,3,19,5
311,3,19,5
312,3,19,5
313,3,19,5
314,3,19,5
315,3,19,5
316,3,19,5
317,3,19,5
318,3,19,5
319,3,19,5
320,3,19,5
321,3,19,5
322,3,19,5
323,3,19,5
324,3,19,5
325,3,19,5
326,3,19,5
327,3,19,5
328,3,19,5
329,3,19,5
330,3,19,5
331,3,19,5
332,3,19,5
333,3,19,5
334,3,19,5
335,3,19,5
336,3,19,5
337,3,19,5
338,3,19,5
339,3,19,5
340,3,19,5
341,3,19,5
342,3,19,5
343,3,19,5
344,3,19,5
345,3,19,5
346,3,19,5
347,3,19,5
348,3,19,5
349,3,19,5
350,3,19,5
351,3,19,5
352,3,19,5
353,3,19,5
354,3,19,5
355,3,19,5
356,3,19,5
357,3,19,5
358,3,19,5
359,3,19,5
360,3,19,5
361,3,19,5
362,3,19,5
363,3,19,5
364,3,19,5
365,3,19,5
366,3,19,5
367,3,19,5
368,3,19,5
369,3,19,5
370,3,19,5
371,3,19,5
372,3,19,5
373,3,19,5
374,3,19,5
375,3,19,5
376,3,19,5
377,3,19,5
378,3,19,5
379,3,19,5
380,3,19,5
381,3,19,5
382,3,19,5
383,3,19,5
384,3,19,5
385,3,19,5
386,3,19,5
387,3,19,5
388,3,19,5
389,3,19,5
390,3,19,5
391,3,19,5
392,3,19,5
393,3,19,5
394,3,19,5
395,3,19,5
396,3,19,5
397,3,19,5
398,3,19,5
399,3,19,5
400,3,19,5
401,3,19,5
402,3,19,5
403,3,19,5
404,3,19,5
405,3,19,5
406,3,19,5
