total,l1,l2,l3,l2r
1,0,15,12,0
2,0,15,12,0
3,0,15,12,0
4,0,15,12,0
5,0,15,12,0
6,0,15,12,0
7,0,15,12,0
8,0,15,12,0
9,0,15,12,0
10,0,15,11,0
11,0,15,11,0
12,0,15,11,0
13,0,15,11,0
14,0,15,11,0
15,0,15,11,0
16,0,15,11,0
17,0,15,11,0
18,0,15,11,0
19,0,15,11,0
20,0,15,11,0
21,0,15,11,0
22,0,15,11,0
23,0,15,11,0
24,0,15,11,0
25,0,15,11,0
26,0,15,11,0
27,0,15,11,0
28,0,15,11,0
29,0,15,11,0
30,0,15,10,0
31,0,15,10,0
32,0,15,10,0
33,0,15,10,0
34,0,15,10,0
35,0,15,10,0
36,0,15,10,0
37,0,15,10,0
38,0,15,10,0
39,0,15,10,0
40,0,15,10,0
41,0,15,10,0
42,0,15,10,0
43,0,15,10,0
44,0,15,10,0
45,0,15,10,0
46,0,15,10,0
47,0,15,10,0
48,0,15,10,0
49,0,15,10,0
50,0,15,10,0
51,0,15,9,0
52,0,15,9,0
53,0,15,9,0
54,0,15,9,0
55,0,15,9,0
56,0,15,9,0
57,0,15,9,0
58,0,15,9,0
59,0,15,9,0
60,0,15,9,0
61,0,15,9,0
62,0,15,9,0
63,0,15,9,0
64,0,15,9,0
65,0,15,9,0
66,0,15,9,0
67,0,15,9,0
68,0,15,9,0
69,0,15,9,0
70,0,15,9,0
71,0,15,9,0
72,0,15,9,0
73,0,15,9,0
74,0,15,9,0
75,0,15,9,0
76,0,15,9,0
77,0,15,8,0
78,0,15,8,0
79,0,15,8,0
80,0,15,8,0
81,0,15,8,0
82,0,15,8,0
83,0,15,8,0
84,0,15,8,0
85,0,15,8,0
86,0,15,8,0
87,0,15,8,0
88,0,15,8,0
89,0,15,8,0
90,0,15,8,0
91,0,15,8,0
92,0,15,8,0
93,0,15,8,0
94,0,15,8,0
95,0,15,8,0
96,0,15,8,0
97,0,15,8,0
98,0,15,8,0
99,0,15,8,0
100,0,15,8,0
101,0,15,8,0
102,0,15,8,0
103,0,15,8,0
104,0,15,8,0
105,0,15,8,0
106,0,15,8,0
107,0,15,8,0
108,0,15,8,0
109,0,15,8,0
110,0,15,8,0
111,0,15,8,0
112,0,15,8,0
113,0,15,8,0
114,0,15,8,0
115,0,15,8,0
116,0,15,8,0
117,0,15,8,0
118,0,15,8,0
119,0,15,8,0
120,0,15,8,0
121,0,15,8,0
122,0,15,8,0
123,0,15,8,0
124,0,15,8,0
125,0,15,8,0
126,0,15,8,0
127,0,15,8,0
128,0,15,8,0
129,0,15,8,0
130,0,15,8,0
131,0,15,8,0
132,0,15,8,0
133,0,15,8,0
134,0,15,7,0
135,0,15,7,0
136,0,15,7,0
137,0,15,7,0
138,0,15,7,0
