total,l1,l2,l3,l2r
1,0,23,10,0
289,0,23,7,0
290,0,22,8,1
792,0,22,5,1
793,0,21,5,2
951,0,21,5,2
952,0,20,5,3
1292,0,20,4,3
1293,0,19,4,4
1675,0,19,3,4
1676,0,18,4,5
1885,0,18,4,5
1886,0,17,5,6
2100,0,17,5,6
2101,0,16,5,7
2320,0,16,5,7
2321,0,15,6,8
3247,0,15,3,8
3248,0,13,3,10
3523,0,13,3,10
3524,0,12,3,11
4087,0,12,2,11
4088,0,11,3,12
4655,0,11,2,12
4656,0,10,3,13
5530,0,10,1,13
5531,0,9,2,14
5829,0,9,2,14
5830,0,8,3,15
6134,0,8,3,15
6135,0,7,4,16
6440,0,7,4,16
6441,0,6,5,17
7059,0,6,4,17
7060,0,5,5,18
8313,0,5,2,18
8314,0,4,3,19
8632,0,4,3,19
8633,0,3,4,20
8955,0,3,4,20
8956,0,2,5,21
9929,0,2,3,21
9930,0,1,4,22
10257,0,1,4,22
