total,l1,l2,l3
1,0,23,10
2,0,23,10
3,0,23,10
4,0,23,10
5,0,23,10
6,0,23,10
7,0,23,10
8,0,23,10
9,0,23,10
10,0,23,10
11,0,23,10
12,0,23,10
13,0,23,10
14,0,23,10
15,0,23,10
16,0,23,10
17,0,23,10
18,0,23,10
19,0,23,10
20,0,23,10
21,0,23,10
22,0,23,10
23,0,23,10
24,0,23,10
25,0,23,10
26,0,23,10
27,0,23,10
28,0,23,10
29,0,23,10
30,0,23,10
31,0,23,10
32,0,23,10
33,0,23,10
34,0,23,10
35,0,23,10
36,0,23,10
37,0,23,10
38,0,23,10
39,0,23,10
40,0,23,10
41,0,23,10
42,0,23,10
43,0,23,10
44,0,23,10
45,0,23,10
46,0,23,10
47,0,23,10
48,0,23,9
49,0,23,9
50,0,23,9
51,0,23,9
52,0,23,9
53,0,23,9
54,0,23,9
55,0,23,9
56,0,23,9
57,0,23,9
58,0,23,9
59,0,23,9
60,0,23,9
61,0,23,9
62,0,23,9
63,0,23,9
64,0,23,9
65,0,23,9
66,0,23,9
67,0,23,9
68,0,23,9
69,0,23,9
70,0,23,9
71,0,23,9
72,0,23,9
73,0,23,9
74,0,23,9
75,0,23,9
76,0,23,9
77,0,23,9
78,0,23,9
79,0,23,9
80,0,23,9
81,0,23,9
82,0,23,9
83,0,23,9
84,0,23,9
85,0,23,9
86,0,23,9
87,0,23,9
88,0,23,9
89,0,23,9
90,0,23,9
91,0,23,9
92,0,23,9
93,0,23,9
94,0,23,9
95,0,23,9
96,0,23,9
97,0,23,9
98,0,23,8
99,0,23,8
100,0,23,8
101,0,23,8
102,0,23,8
103,0,23,8
104,0,23,8
105,0,23,8
106,0,23,8
107,0,23,8
108,0,23,8
109,0,23,8
110,0,23,8
111,0,23,8
112,0,23,8
113,0,23,8
114,0,23,8
115,0,23,8
116,0,23,8
117,0,23,8
118,0,23,8
119,0,23,8
120,0,23,8
121,0,23,8
122,0,23,8
123,0,23,8
124,0,23,8
125,0,23,8
126,0,23,8
127,0,23,8
128,0,23,8
129,0,23,8
130,0,23,8
131,0,23,8
132,0,23,8
133,0,23,8
134,0,23,8
135,0,23,8
136,0,23,8
137,0,23,8
138,0,23,8
139,0,23,8
140,0,23,8
141,0,23,8
142,0,23,8
143,0,23,8
144,0,23,8
145,0,23,8
146,0,23,8
147,0,23,8
148,0,23,8
149,0,23,8
150,0,23,8
151,0,23,8
152,0,23,8
153,0,23,8
154,0,23,8
