total,l1,l2,l3,l2r
1,0,23,10,0
55,0,23,10,0
56,0,22,10,1
172,0,22,10,1
173,0,21,10,2
359,0,21,10,2
360,0,20,11,3
360,0,20,11,3
361,0,19,12,4
441,0,19,12,4
442,0,18,13,5
485,0,18,13,5
486,0,17,14,6
625,0,17,14,6
626,0,16,16,7
680,0,16,16,7
681,0,15,18,8
851,0,15,18,8
852,0,14,20,9
1073,0,14,20,9
1074,0,13,22,10
1369,0,13,22,10
1370,0,12,24,11
1402,0,12,24,11
1403,0,11,26,12
1565,0,11,26,12
1566,0,10,28,13
1842,0,10,28,13
1843,0,9,30,14
2086,0,9,30,14
2087,0,8,32,15
2343,0,8,32,15
2344,0,7,34,16
2600,0,7,34,16
2601,0,6,36,17
2865,0,6,36,17
2866,0,5,38,18
3150,0,5,38,18
3151,0,4,40,19
3462,0,4,40,19
3463,0,3,42,20
3614,0,3,42,20
3615,0,2,44,21
3886,0,2,44,21
3887,0,1,46,22
3971,0,1,46,22
