total,l1,l2,l3,l2r
1,0,23,10,0
759,0,23,10,0
760,0,22,11,1
1215,0,22,11,1
1216,0,20,13,3
1243,0,20,13,3
1244,0,19,14,4
1710,0,19,14,4
1711,0,18,14,5
2227,0,18,14,5
2228,0,17,16,6
2609,0,17,16,6
2610,0,16,18,7
2969,0,16,18,7
2970,0,15,18,8
4306,0,15,16,8
4307,0,14,18,9
5040,0,14,18,9
5041,0,13,20,10
5845,0,13,19,10
5846,0,12,21,11
7012,0,12,20,11
7013,0,11,22,12
7339,0,11,21,12
7340,0,10,23,13
8263,0,10,21,13
8264,0,9,23,14
8330,0,9,23,14
8331,0,8,25,15
8552,0,8,25,15
8553,0,7,27,16
9063,0,7,26,16
9064,0,6,28,17
9175,0,6,28,17
9176,0,5,30,18
9370,0,5,30,18
9371,0,4,32,19
9388,0,4,32,19
9389,0,3,34,20
9895,0,3,34,20
9896,0,2,36,21
10150,0,2,36,21
10151,0,1,38,22
10189,0,1,38,22
