total,l1,l2,l3
1,0,23,10
2,0,23,10
3,0,23,10
4,0,23,10
5,0,23,10
6,0,23,10
7,0,23,10
8,0,23,10
9,0,23,10
10,0,23,10
11,0,23,10
12,0,23,10
13,0,23,10
14,0,23,10
15,0,23,10
16,0,23,10
17,0,23,10
18,0,23,10
19,0,23,10
20,0,23,10
21,0,23,10
22,0,23,10
23,0,23,10
24,0,23,10
25,0,23,10
26,0,23,10
27,0,23,10
28,0,23,10
29,0,23,10
30,0,23,10
31,0,23,10
32,0,23,10
33,0,23,10
34,0,23,10
35,0,23,10
36,0,23,10
37,0,23,10
38,0,23,10
39,0,23,10
40,0,23,10
41,0,23,10
42,0,23,10
43,0,23,10
44,0,23,10
45,0,23,10
46,0,23,10
47,0,23,10
48,0,23,10
49,0,23,10
50,0,23,10
51,0,23,10
52,0,23,10
53,0,23,10
54,0,23,10
55,0,23,10
56,0,23,10
57,0,23,10
58,0,23,10
59,0,23,10
60,0,23,10
61,0,23,10
62,0,23,10
63,0,23,10
64,0,23,10
65,0,23,10
66,0,23,10
67,0,23,10
68,0,23,10
69,0,23,10
70,0,23,10
71,0,23,10
72,0,23,10
73,0,23,10
74,0,23,10
75,0,23,10
76,0,23,10
77,0,23,10
78,0,23,10
79,0,23,10
80,0,23,10
81,0,23,10
82,0,23,10
83,0,23,10
84,0,23,10
85,0,23,10
86,0,23,10
87,0,23,10
88,0,23,10
89,0,23,10
90,0,23,10
91,0,23,10
92,0,23,10
93,0,23,10
94,0,23,10
95,0,23,10
96,0,23,10
97,0,23,10
98,0,23,10
99,0,23,10
100,0,23,10
101,0,23,10
102,0,23,10
103,0,23,10
104,0,23,10
105,0,23,10
106,0,23,10
107,0,23,10
108,0,23,10
109,0,23,10
110,0,23,10
111,0,23,10
112,0,23,10
113,0,23,10
114,0,23,10
115,0,23,10
116,0,23,10
117,0,23,10
118,0,23,10
119,0,23,10
120,0,23,10
121,0,23,10
122,0,23,10
123,0,23,10
124,0,23,10
125,0,23,10
126,0,23,10
127,0,23,10
128,0,23,10
129,0,23,10
130,0,23,10
131,0,23,10
132,0,23,10
133,0,23,10
134,0,23,10
135,0,23,10
136,0,23,10
137,0,23,10
138,0,23,10
139,0,23,10
140,0,23,10
141,0,23,10
142,0,23,10
143,0,23,10
144,0,23,10
145,0,23,10
146,0,23,10
147,0,23,10
148,0,23,10
149,0,23,10
150,0,23,10
151,0,23,10
152,0,23,10
153,0,23,10
154,0,23,10
