total,l1,l2,l3,l1r
1,4,13,5,0
2,4,13,5,0
3,4,13,5,0
4,4,13,5,0
5,4,13,5,0
6,4,13,5,0
7,4,13,5,0
8,4,13,5,0
9,4,13,5,0
10,4,13,5,0
11,4,13,5,0
12,4,13,5,0
13,4,13,5,0
14,4,13,5,0
15,4,13,5,0
16,4,13,5,0
17,4,13,5,0
18,4,13,5,0
19,4,13,5,0
20,4,13,5,0
21,4,13,5,0
22,4,13,5,0
23,4,13,5,0
24,4,13,5,0
25,4,13,5,0
26,4,13,5,0
27,4,13,5,0
28,4,13,5,0
29,4,13,5,0
30,4,13,5,0
31,4,13,5,0
32,4,13,5,0
33,4,13,5,0
34,4,13,5,0
35,4,13,5,0
36,4,13,5,0
37,4,13,5,0
38,4,13,5,0
39,4,13,5,0
40,4,13,5,0
41,4,13,5,0
42,4,13,5,0
43,4,13,5,0
44,4,13,5,0
45,4,13,5,0
46,4,13,5,0
47,4,13,5,0
48,4,13,5,0
49,4,13,5,0
50,4,13,5,0
51,4,13,5,0
52,4,13,5,0
53,4,13,5,0
54,4,13,5,0
55,4,13,5,0
56,4,13,5,0
57,4,13,5,0
58,4,13,5,0
59,4,13,5,0
60,4,13,5,0
61,4,13,5,0
62,4,13,5,0
63,4,13,5,0
64,4,13,5,0
65,4,13,5,0
66,4,13,5,0
67,4,12,6,0
68,4,12,6,0
69,4,12,6,0
70,4,12,6,0
71,4,12,6,0
72,4,12,6,0
73,4,12,6,0
74,4,12,6,0
75,4,12,6,0
76,4,12,6,0
77,4,12,6,0
78,4,12,6,0
79,4,12,6,0
80,4,12,6,0
81,4,12,6,0
82,4,12,6,0
83,4,12,6,0
84,4,12,6,0
85,4,12,6,0
86,4,12,6,0
87,4,12,6,0
88,4,12,6,0
89,4,12,6,0
90,4,12,6,0
91,4,12,6,0
92,4,12,6,0
93,4,12,6,0
94,4,12,6,0
95,4,12,6,0
96,4,12,6,0
97,4,12,6,0
98,4,12,6,0
99,4,12,6,0
100,4,12,6,0
101,4,12,6,0
102,4,12,6,0
103,4,12,6,0
104,4,12,6,0
105,4,12,6,0
106,4,12,6,0
107,4,12,6,0
108,4,12,6,0
109,4,12,6,0
110,4,12,6,0
111,4,12,6,0
112,4,12,6,0
113,4,12,6,0
114,4,12,6,0
115,4,12,6,0
116,4,12,6,0
117,4,12,6,0
118,4,12,6,0
119,4,12,6,0
120,4,12,6,0
121,4,12,6,0
122,4,12,6,0
123,4,12,6,0
124,4,12,6,0
125,4,12,6,0
126,4,12,6,0
127,4,12,6,0
128,4,12,6,0
129,4,12,6,0
130,4,12,6,0
131,4,12,6,0
132,4,12,6,0
133,4,12,6,0
134,4,12,6,0
135,4,12,6,0
136,4,12,6,0
137,4,12,6,0
138,4,12,6,0
139,4,12,6,0
140,4,12,6,0
141,4,12,6,0
142,4,12,6,0
143,4,12,6,0
144,4,12,6,0
145,4,12,6,0
146,4,12,6,0
147,4,12,6,0
148,4,12,6,0
149,4,12,6,0
