total,l1,l2,l3
1,4,13,5
2,4,13,5
3,4,13,5
4,4,13,5
5,4,13,5
6,4,13,5
7,4,13,5
8,4,13,5
9,4,13,5
10,4,13,5
11,4,13,5
12,4,13,5
13,4,13,5
14,4,13,5
15,4,13,5
16,4,13,5
17,4,13,5
18,4,13,5
19,4,13,5
20,4,13,5
21,4,13,5
22,4,13,5
23,4,13,5
24,4,13,5
25,4,13,5
26,4,13,5
27,4,13,5
28,4,13,5
29,4,13,5
30,4,13,5
31,4,13,5
32,4,13,5
33,4,13,5
34,4,13,5
35,4,13,5
36,4,13,5
37,4,13,5
38,4,13,5
39,4,13,5
40,4,13,5
41,4,13,5
42,4,13,5
43,4,13,5
44,4,13,5
45,4,13,5
46,4,13,5
47,4,13,5
48,4,13,5
49,4,13,5
50,4,13,5
51,4,13,5
52,4,13,5
53,4,13,5
54,4,13,5
55,4,13,5
56,4,13,5
57,4,13,5
58,4,13,5
59,4,13,5
60,4,13,5
61,4,13,5
62,4,13,5
63,4,13,5
64,4,13,5
65,4,13,5
66,4,13,5
67,4,12,6
68,4,12,6
69,4,12,6
70,4,12,6
71,4,12,6
72,4,12,6
73,4,12,6
74,4,12,6
75,4,12,6
76,4,12,6
77,4,12,6
78,4,12,6
79,4,12,6
80,4,12,6
81,4,12,6
82,4,12,6
83,4,12,6
84,4,12,6
85,4,12,6
86,4,12,6
87,4,12,6
88,4,12,6
89,4,12,6
90,4,12,6
91,4,12,6
92,4,12,6
93,4,12,6
94,4,12,6
95,4,12,6
96,4,12,6
97,4,12,6
98,4,12,6
99,4,12,6
100,4,12,6
101,4,12,6
102,4,12,6
103,4,12,6
104,4,12,6
105,4,12,6
106,4,12,6
107,4,12,6
108,4,12,6
109,4,12,6
110,4,12,6
111,4,12,6
112,4,12,6
113,4,12,6
114,4,12,6
115,4,12,6
116,4,12,6
117,4,12,6
118,4,12,6
119,4,12,6
120,4,12,6
121,4,12,6
122,4,12,6
123,4,12,6
124,4,12,6
125,4,12,6
126,4,12,6
127,4,12,6
128,4,12,6
129,4,12,6
130,4,12,6
131,4,12,6
132,4,12,6
133,4,12,6
134,4,12,6
135,4,12,6
136,4,12,6
137,4,12,6
138,4,12,6
139,4,12,6
140,4,12,6
141,4,12,6
142,4,12,6
143,4,12,6
144,4,12,6
145,4,12,6
146,4,12,6
147,4,12,6
148,4,12,6
149,4,12,6
150,4,12,6
151,4,12,6
152,4,12,6
153,4,12,6
154,4,12,6
155,4,12,6
156,4,12,6
157,4,12,6
158,4,12,6
159,4,12,6
160,4,12,6
161,4,12,6
162,4,12,6
163,4,12,6
164,4,12,6
165,4,12,6
166,4,12,6
167,4,12,6
168,4,12,6
169,4,12,6
170,4,12,6
171,4,12,6
172,4,12,6
173,4,12,6
174,4,12,6
175,4,12,6
176,4,12,6
177,4,12,6
178,4,12,6
179,4,12,6
180,4,12,6
181,4,12,6
182,4,12,6
183,4,12,6
184,4,12,6
185,4,12,6
186,4,12,6
187,4,12,6
188,4,12,6
189,4,12,6
190,4,12,6
191,4,12,6
192,4,12,6
193,4,12,6
194,4,12,6
195,4,12,6
196,4,12,6
197,4,12,6
198,4,12,6
199,4,12,6
200,4,12,6
201,4,12,6
202,4,12,6
203,4,12,6
204,4,12,6
205,4,12,6
206,4,12,6
207,4,12,6
208,4,12,6
209,4,11,8
210,4,11,8
211,4,11,8
212,4,11,8
213,4,11,8
214,4,11,8
215,4,11,8
216,4,11,8
217,4,11,8
218,4,11,8
219,4,11,8
220,4,11,8
221,4,11,8
222,4,11,8
223,4,11,8
224,4,11,8
225,4,11,8
226,4,11,8
227,4,11,8
228,4,11,8
229,4,11,8
230,4,11,8
231,4,11,8
232,4,11,8
233,4,11,8
234,4,11,8
235,4,11,8
236,4,11,8
237,4,11,8
238,4,11,8
239,4,11,8
240,4,11,8
241,4,11,8
242,4,11,8
243,4,11,8
244,4,11,8
245,4,11,8
246,4,11,8
247,4,11,8
248,4,11,8
249,4,11,8
250,4,11,8
251,4,11,8
252,4,11,8
253,4,11,8
254,4,11,8
255,4,11,8
256,4,11,8
257,4,11,8
258,4,11,8
259,4,11,8
260,4,11,8
261,4,11,8
262,4,11,8
263,4,11,8
264,4,11,8
265,4,11,8
266,4,11,8
267,4,11,8
268,4,11,8
269,4,11,8
270,4,11,8
271,4,11,8
272,4,11,8
273,4,11,8
274,4,11,8
275,4,11,8
276,4,11,8
277,4,11,8
278,4,11,8
279,4,11,8
280,4,11,8
281,4,11,8
282,4,11,8
283,4,11,8
284,4,11,8
285,4,11,8
286,4,11,8
287,4,11,8
288,4,11,8
289,4,11,8
290,4,11,8
291,4,11,8
292,4,11,8
293,4,11,8
294,4,11,8
295,4,11,8
296,4,11,8
297,4,11,8
298,4,11,8
299,4,11,8
300,4,11,8
301,4,11,8
302,4,11,8
303,4,11,8
304,4,11,8
305,4,11,8
306,4,11,8
307,4,11,8
308,4,11,8
309,4,11,8
310,4,11,8
311,4,11,8
312,4,11,8
313,4,11,8
314,4,11,8
315,4,11,8
316,4,11,8
317,4,11,8
318,4,11,8
319,4,11,8
320,4,11,8
321,4,11,8
322,4,11,8
323,4,11,8
324,4,11,8
325,4,11,8
326,4,11,8
327,4,11,8
328,4,11,8
329,4,11,8
330,4,11,8
331,4,11,8
332,4,11,8
333,4,11,8
334,4,11,8
335,4,11,8
336,4,11,8
337,4,11,8
338,4,11,8
339,4,11,8
340,4,11,8
341,4,11,8
342,4,11,8
343,4,11,8
344,4,11,8
345,4,11,8
346,4,11,8
347,4,11,8
348,4,11,8
349,4,11,8
350,4,11,8
351,4,11,8
352,4,11,8
353,4,11,8
354,4,11,8
355,4,11,8
356,4,11,8
357,4,11,8
358,4,11,8
359,4,11,8
360,4,11,8
361,4,11,8
362,4,11,8
363,4,11,8
364,4,11,8
365,4,11,8
366,4,11,8
367,4,11,8
368,4,11,8
369,4,11,8
370,4,11,8
371,4,11,8
372,4,11,8
373,4,11,8
374,4,11,8
375,4,11,8
376,4,11,8
377,4,11,8
378,4,11,7
379,4,11,7
380,4,11,7
381,4,11,7
382,4,11,7
383,4,11,7
384,4,11,7
385,4,11,7
386,4,11,7
387,4,11,7
388,4,11,7
389,4,11,7
390,4,11,7
391,4,11,7
392,4,11,7
393,4,11,7
394,4,11,7
395,4,11,7
396,4,11,7
397,4,11,7
398,4,11,7
399,4,11,7
400,4,11,7
401,4,11,7
402,4,11,7
403,4,11,7
404,4,11,7
405,4,11,7
406,4,11,7
