total,l1,l2,l3,l2r
1,0,23,10,0
33,0,23,10,0
34,0,22,12,1
77,0,22,12,1
78,0,21,13,2
229,0,21,11,2
230,0,19,13,4
310,0,19,13,4
311,0,18,14,5
395,0,18,14,5
396,0,17,16,6
814,0,17,13,6
815,0,16,13,7
1335,0,16,10,7
1336,0,15,12,8
1777,0,15,10,8
1778,0,14,12,9
2239,0,14,10,9
2240,0,13,11,10
3196,0,13,6,10
3197,0,12,7,11
3197,0,12,7,11
3198,0,11,9,12
4178,0,11,5,12
4179,0,10,7,13
4716,0,10,5,13
4717,0,9,7,14
5470,0,9,4,14
5471,0,8,6,15
5733,0,8,5,15
5734,0,7,7,16
6526,0,7,4,16
6527,0,6,6,17
6843,0,6,5,17
6844,0,5,7,18
7154,0,5,6,18
7155,0,4,8,19
7759,0,4,6,19
7760,0,3,8,20
8379,0,3,6,20
8380,0,2,8,21
10256,0,2,2,21
10257,0,1,4,22
10583,0,1,3,22
