age_group,gender,race,timestamp,strategy,mask_level,share_id,filename,accepted,prompt,majority_vote
1,0,0,20230911103124160881,similar,accurate,0,1_0_0_20230911103124160881_similar_accurate.png,"[True, False, False, True, False]",white male preschooler,False
1,0,0,20230911103141682049,similar,moderate,0,1_0_0_20230911103141682049_similar_moderate.png,"[True, True, False]",white male preschooler,True
1,0,0,20230911103152978333,similar,imprecise,0,1_0_0_20230911103152978333_similar_imprecise.png,[True],white male preschooler,True
1,0,0,20230911103204288139,similar,accurate,1,1_0_0_20230911103204288139_similar_accurate.png,"[True, True, True]",white male preschooler,True
1,0,0,20230911103217144559,similar,moderate,1,1_0_0_20230911103217144559_similar_moderate.png,[True],white male preschooler,True
1,0,0,20230911103229224687,similar,imprecise,1,1_0_0_20230911103229224687_similar_imprecise.png,[True],white male preschooler,True
1,0,0,20230911103240896466,similar,accurate,2,1_0_0_20230911103240896466_similar_accurate.png,[True],white male preschooler,True
1,0,0,20230911103251935246,similar,moderate,2,1_0_0_20230911103251935246_similar_moderate.png,"[True, True, False, True]",white male preschooler,True
1,0,0,20230911103302763675,similar,imprecise,2,1_0_0_20230911103302763675_similar_imprecise.png,"[True, True, False]",white male preschooler,True
1,0,0,20230911103314174819,similar,accurate,3,1_0_0_20230911103314174819_similar_accurate.png,[True],white male preschooler,True
1,0,0,20230911103325896019,similar,moderate,3,1_0_0_20230911103325896019_similar_moderate.png,"[True, True]",white male preschooler,True
1,0,0,20230911103343880139,similar,imprecise,3,1_0_0_20230911103343880139_similar_imprecise.png,"[True, True, False]",white male preschooler,True
1,0,0,20230911103355583053,similar,accurate,4,1_0_0_20230911103355583053_similar_accurate.png,"[True, True, True, True, True]",white male preschooler,True
1,0,0,20230911103407831449,similar,moderate,4,1_0_0_20230911103407831449_similar_moderate.png,"[True, True]",white male preschooler,True
1,0,0,20230911103419537916,similar,imprecise,4,1_0_0_20230911103419537916_similar_imprecise.png,"[True, True, True]",white male preschooler,True
1,1,2,20230911103504251976,similar,accurate,5,1_1_2_20230911103504251976_similar_accurate.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103515389006,similar,moderate,5,1_1_2_20230911103515389006_similar_moderate.png,"[True, True, True, True]",asian female preschooler,True
1,1,2,20230911103527373473,similar,imprecise,5,1_1_2_20230911103527373473_similar_imprecise.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103538592328,similar,accurate,6,1_1_2_20230911103538592328_similar_accurate.png,[True],asian female preschooler,True
1,1,2,20230911103550424733,similar,moderate,6,1_1_2_20230911103550424733_similar_moderate.png,[False],asian female preschooler,False
1,1,2,20230911103601576398,similar,imprecise,6,1_1_2_20230911103601576398_similar_imprecise.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103612637753,similar,accurate,7,1_1_2_20230911103612637753_similar_accurate.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103623763601,similar,moderate,7,1_1_2_20230911103623763601_similar_moderate.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103634466685,similar,imprecise,7,1_1_2_20230911103634466685_similar_imprecise.png,[True],asian female preschooler,True
1,1,2,20230911103646871512,similar,accurate,8,1_1_2_20230911103646871512_similar_accurate.png,"[True, True]",asian female preschooler,True
1,1,2,20230911103658815007,similar,moderate,8,1_1_2_20230911103658815007_similar_moderate.png,"[True, True, True]",asian female preschooler,True
1,1,2,20230911103710724403,similar,imprecise,8,1_1_2_20230911103710724403_similar_imprecise.png,[True],asian female preschooler,True
2,0,3,20230911103731673856,similar,accurate,9,2_0_3_20230911103731673856_similar_accurate.png,"[True, False, True, True, True]",indian male school age child,True
2,0,3,20230911103743180102,similar,moderate,9,2_0_3_20230911103743180102_similar_moderate.png,"[True, True, True, True, True]",indian male school age child,True
2,0,3,20230911103755060037,similar,imprecise,9,2_0_3_20230911103755060037_similar_imprecise.png,[True],indian male school age child,True
2,0,3,20230911103806979483,similar,accurate,10,2_0_3_20230911103806979483_similar_accurate.png,"[True, True, True, True]",indian male school age child,True
2,0,3,20230911103818994462,similar,moderate,10,2_0_3_20230911103818994462_similar_moderate.png,"[True, True, True, True]",indian male school age child,True
2,0,3,20230911103830111398,similar,imprecise,10,2_0_3_20230911103830111398_similar_imprecise.png,[True],indian male school age child,True
2,0,3,20230911103847491145,similar,accurate,11,2_0_3_20230911103847491145_similar_accurate.png,[True],indian male school age child,True
2,0,3,20230911103857812587,similar,moderate,11,2_0_3_20230911103857812587_similar_moderate.png,"[True, True, True, True, True]",indian male school age child,True
2,0,3,20230911103908220992,similar,imprecise,11,2_0_3_20230911103908220992_similar_imprecise.png,[True],indian male school age child,True
2,0,3,20230911103919851895,similar,accurate,12,2_0_3_20230911103919851895_similar_accurate.png,"[True, False, True, True]",indian male school age child,True
2,0,3,20230911103931639421,similar,moderate,12,2_0_3_20230911103931639421_similar_moderate.png,[True],indian male school age child,True
2,0,3,20230911103943221606,similar,imprecise,12,2_0_3_20230911103943221606_similar_imprecise.png,"[True, True]",indian male school age child,True
2,0,3,20230911103954303433,similar,accurate,13,2_0_3_20230911103954303433_similar_accurate.png,"[True, True, True, True]",indian male school age child,True
2,0,3,20230911104004810927,similar,moderate,13,2_0_3_20230911104004810927_similar_moderate.png,"[True, True]",indian male school age child,True
2,0,3,20230911104015532229,similar,imprecise,13,2_0_3_20230911104015532229_similar_imprecise.png,"[True, True, True]",indian male school age child,True
2,0,3,20230911104026472189,similar,accurate,14,2_0_3_20230911104026472189_similar_accurate.png,"[True, True, True]",indian male school age child,True
2,0,3,20230911104037210014,similar,moderate,14,2_0_3_20230911104037210014_similar_moderate.png,"[False, True, True]",indian male school age child,True
2,0,3,20230911104048464191,similar,imprecise,14,2_0_3_20230911104048464191_similar_imprecise.png,"[True, True]",indian male school age child,True
2,1,1,20230911104158289969,similar,accurate,15,2_1_1_20230911104158289969_similar_accurate.png,"[False, True, False, True, True]",black female school age child,True
2,1,1,20230911104209044844,similar,moderate,15,2_1_1_20230911104209044844_similar_moderate.png,"[True, True, True, True]",black female school age child,True
2,1,1,20230911104219771488,similar,imprecise,15,2_1_1_20230911104219771488_similar_imprecise.png,"[True, True, True, True, True]",black female school age child,True
2,1,1,20230911104230835398,similar,accurate,16,2_1_1_20230911104230835398_similar_accurate.png,"[True, True, True]",black female school age child,True
2,1,1,20230911104243130057,similar,moderate,16,2_1_1_20230911104243130057_similar_moderate.png,"[True, True, False, True, True]",black female school age child,True
2,1,1,20230911104254629620,similar,imprecise,16,2_1_1_20230911104254629620_similar_imprecise.png,"[True, True]",black female school age child,True
2,1,1,20230911104313041341,similar,accurate,17,2_1_1_20230911104313041341_similar_accurate.png,[True],black female school age child,True
2,1,1,20230911104324976401,similar,moderate,17,2_1_1_20230911104324976401_similar_moderate.png,[True],black female school age child,True
2,1,1,20230911104338713592,similar,imprecise,17,2_1_1_20230911104338713592_similar_imprecise.png,"[True, False, False, False, True]",black female school age child,False
2,1,1,20230911104350035539,similar,accurate,18,2_1_1_20230911104350035539_similar_accurate.png,"[True, True, True, True, False, True, False]",black female school age child,True
2,1,1,20230911104400685914,similar,moderate,18,2_1_1_20230911104400685914_similar_moderate.png,"[True, True, True, True, True, True, True]",black female school age child,True
2,1,1,20230911104417829465,similar,imprecise,18,2_1_1_20230911104417829465_similar_imprecise.png,[True],black female school age child,True
2,1,1,20230911104429508480,similar,accurate,19,2_1_1_20230911104429508480_similar_accurate.png,"[True, True, True]",black female school age child,True
2,1,1,20230911104444813613,similar,moderate,19,2_1_1_20230911104444813613_similar_moderate.png,"[True, True, True, True]",black female school age child,True
2,1,1,20230911104458132951,similar,imprecise,19,2_1_1_20230911104458132951_similar_imprecise.png,[True],black female school age child,True
3,0,2,20230911104530529093,similar,accurate,20,3_0_2_20230911104530529093_similar_accurate.png,"[True, False, True]",asian male adolescents,True
3,0,2,20230911104542827464,similar,moderate,20,3_0_2_20230911104542827464_similar_moderate.png,"[True, True]",asian male adolescents,True
3,0,2,20230911104601605793,similar,imprecise,20,3_0_2_20230911104601605793_similar_imprecise.png,"[True, True, True, True]",asian male adolescents,True
3,0,2,20230911104613054746,similar,accurate,21,3_0_2_20230911104613054746_similar_accurate.png,"[True, True, True, True]",asian male adolescents,True
3,0,2,20230911104624625282,similar,moderate,21,3_0_2_20230911104624625282_similar_moderate.png,[True],asian male adolescents,True
3,0,2,20230911104645486489,similar,imprecise,21,3_0_2_20230911104645486489_similar_imprecise.png,"[True, True, True, True]",asian male adolescents,True
3,0,2,20230911104801196198,similar,accurate,22,3_0_2_20230911104801196198_similar_accurate.png,"[True, True]",asian male adolescents,True
3,0,2,20230911104812583060,similar,moderate,22,3_0_2_20230911104812583060_similar_moderate.png,"[True, True, False]",asian male adolescents,True
3,0,2,20230911104823771731,similar,imprecise,22,3_0_2_20230911104823771731_similar_imprecise.png,"[True, True, True, False, True]",asian male adolescents,True
3,0,2,20230911104835129752,similar,accurate,23,3_0_2_20230911104835129752_similar_accurate.png,"[True, True, True, True]",asian male adolescents,True
3,0,2,20230911104846559504,similar,moderate,23,3_0_2_20230911104846559504_similar_moderate.png,[True],asian male adolescents,True
3,0,2,20230911104859961710,similar,imprecise,23,3_0_2_20230911104859961710_similar_imprecise.png,"[True, True]",asian male adolescents,True
3,0,2,20230911104916510639,similar,accurate,24,3_0_2_20230911104916510639_similar_accurate.png,[True],asian male adolescents,True
3,0,2,20230911104928456098,similar,moderate,24,3_0_2_20230911104928456098_similar_moderate.png,"[True, False, True, False, False]",asian male adolescents,False
3,0,2,20230911104939300061,similar,imprecise,24,3_0_2_20230911104939300061_similar_imprecise.png,"[True, True, True, True]",asian male adolescents,True
3,0,2,20230911104952673761,similar,accurate,25,3_0_2_20230911104952673761_similar_accurate.png,[False],asian male adolescents,False
3,0,2,20230911105006592220,similar,moderate,25,3_0_2_20230911105006592220_similar_moderate.png,[True],asian male adolescents,True
3,0,2,20230911105019428524,similar,imprecise,25,3_0_2_20230911105019428524_similar_imprecise.png,"[True, False, True, False, True]",asian male adolescents,True
3,1,0,20230911105123015946,similar,accurate,26,3_1_0_20230911105123015946_similar_accurate.png,"[True, True, False, False, False, False, False]",white female adolescents,False
3,1,0,20230911105135075516,similar,moderate,26,3_1_0_20230911105135075516_similar_moderate.png,"[True, False, True, True, True]",white female adolescents,True
3,1,0,20230911105146762911,similar,imprecise,26,3_1_0_20230911105146762911_similar_imprecise.png,"[True, True, False, True, True, False]",white female adolescents,True
3,1,0,20230911105159021852,similar,accurate,27,3_1_0_20230911105159021852_similar_accurate.png,"[True, True, False]",white female adolescents,True
3,1,0,20230911105209843899,similar,moderate,27,3_1_0_20230911105209843899_similar_moderate.png,"[False, True, True, True, True]",white female adolescents,True
3,1,0,20230911105220633249,similar,imprecise,27,3_1_0_20230911105220633249_similar_imprecise.png,"[True, True, True, True]",white female adolescents,True
3,1,0,20230911105237318078,similar,accurate,28,3_1_0_20230911105237318078_similar_accurate.png,[True],white female adolescents,True
3,1,0,20230911105247994366,similar,moderate,28,3_1_0_20230911105247994366_similar_moderate.png,"[True, True]",white female adolescents,True
3,1,0,20230911105258323845,similar,imprecise,28,3_1_0_20230911105258323845_similar_imprecise.png,"[True, False, True, True]",white female adolescents,True
3,1,0,20230911105310668506,similar,accurate,29,3_1_0_20230911105310668506_similar_accurate.png,"[True, True]",white female adolescents,True
3,1,0,20230911105321634759,similar,moderate,29,3_1_0_20230911105321634759_similar_moderate.png,"[True, True]",white female adolescents,True
3,1,0,20230911105336426285,similar,imprecise,29,3_1_0_20230911105336426285_similar_imprecise.png,"[False, False]",white female adolescents,False
4,0,3,20230911105619161474,similar,accurate,30,4_0_3_20230911105619161474_similar_accurate.png,[False],indian male young adult,False
4,0,3,20230911105633965275,similar,moderate,30,4_0_3_20230911105633965275_similar_moderate.png,"[True, True, True, True]",indian male young adult,True
4,0,3,20230911105649075031,similar,imprecise,30,4_0_3_20230911105649075031_similar_imprecise.png,[True],indian male young adult,True
4,0,3,20230911105659855007,similar,accurate,31,4_0_3_20230911105659855007_similar_accurate.png,"[True, True, True, True, True]",indian male young adult,True
4,0,3,20230911105710696213,similar,moderate,31,4_0_3_20230911105710696213_similar_moderate.png,[True],indian male young adult,True
4,0,3,20230911105721373299,similar,imprecise,31,4_0_3_20230911105721373299_similar_imprecise.png,[True],indian male young adult,True
4,0,3,20230911105731922158,similar,accurate,32,4_0_3_20230911105731922158_similar_accurate.png,"[True, True, True]",indian male young adult,True
4,0,3,20230911105742515070,similar,moderate,32,4_0_3_20230911105742515070_similar_moderate.png,[True],indian male young adult,True
4,0,3,20230911105753015054,similar,imprecise,32,4_0_3_20230911105753015054_similar_imprecise.png,"[True, True, True]",indian male young adult,True
4,0,3,20230911105803587341,similar,accurate,33,4_0_3_20230911105803587341_similar_accurate.png,"[True, True, True, True]",indian male young adult,True
4,0,3,20230911105817956122,similar,moderate,33,4_0_3_20230911105817956122_similar_moderate.png,[True],indian male young adult,True
4,0,3,20230911105828877909,similar,imprecise,33,4_0_3_20230911105828877909_similar_imprecise.png,"[True, True, True]",indian male young adult,True
4,0,3,20230911105840868869,similar,accurate,34,4_0_3_20230911105840868869_similar_accurate.png,"[True, True, True]",indian male young adult,True
4,0,3,20230911105852850178,similar,moderate,34,4_0_3_20230911105852850178_similar_moderate.png,[True],indian male young adult,True
4,0,3,20230911105904245841,similar,imprecise,34,4_0_3_20230911105904245841_similar_imprecise.png,"[True, True, True]",indian male young adult,True
4,1,2,20230911105944056838,similar,accurate,35,4_1_2_20230911105944056838_similar_accurate.png,[False],asian female young adult,False
4,1,2,20230911105955872953,similar,moderate,35,4_1_2_20230911105955872953_similar_moderate.png,[True],asian female young adult,True
4,1,2,20230911110006980852,similar,imprecise,35,4_1_2_20230911110006980852_similar_imprecise.png,"[True, True, False]",asian female young adult,True
4,1,2,20230911110017959513,similar,accurate,36,4_1_2_20230911110017959513_similar_accurate.png,[True],asian female young adult,True
4,1,2,20230911110028474502,similar,moderate,36,4_1_2_20230911110028474502_similar_moderate.png,[True],asian female young adult,True
4,1,2,20230911110039091571,similar,imprecise,36,4_1_2_20230911110039091571_similar_imprecise.png,[True],asian female young adult,True
4,1,2,20230911110050842387,similar,accurate,37,4_1_2_20230911110050842387_similar_accurate.png,"[True, True, True]",asian female young adult,True
4,1,2,20230911110103579795,similar,moderate,37,4_1_2_20230911110103579795_similar_moderate.png,"[True, False, True, True, True]",asian female young adult,True
4,1,2,20230911110115213496,similar,imprecise,37,4_1_2_20230911110115213496_similar_imprecise.png,"[False, False, True]",asian female young adult,False
4,1,2,20230911110127146670,similar,accurate,38,4_1_2_20230911110127146670_similar_accurate.png,[True],asian female young adult,True
4,1,2,20230911110138381498,similar,moderate,38,4_1_2_20230911110138381498_similar_moderate.png,"[True, True, True]",asian female young adult,True
4,1,2,20230911110149442783,similar,imprecise,38,4_1_2_20230911110149442783_similar_imprecise.png,"[True, True]",asian female young adult,True
4,1,2,20230911110201012284,similar,accurate,39,4_1_2_20230911110201012284_similar_accurate.png,"[True, True]",asian female young adult,True
4,1,2,20230911110212746914,similar,moderate,39,4_1_2_20230911110212746914_similar_moderate.png,[True],asian female young adult,True
4,1,2,20230911110224215416,similar,imprecise,39,4_1_2_20230911110224215416_similar_imprecise.png,"[True, True]",asian female young adult,True
5,0,1,20230911110315404617,similar,accurate,40,5_0_1_20230911110315404617_similar_accurate.png,"[True, True, False]",black male adult,True
5,0,1,20230911110327046135,similar,moderate,40,5_0_1_20230911110327046135_similar_moderate.png,[False],black male adult,False
5,0,1,20230911110338168523,similar,imprecise,40,5_0_1_20230911110338168523_similar_imprecise.png,"[True, True, True, True]",black male adult,True
5,0,1,20230911110349920532,similar,accurate,41,5_0_1_20230911110349920532_similar_accurate.png,"[True, True, True, True]",black male adult,True
5,0,1,20230911110402412700,similar,moderate,41,5_0_1_20230911110402412700_similar_moderate.png,"[True, True, True, True]",black male adult,True
5,0,1,20230911110414083296,similar,imprecise,41,5_0_1_20230911110414083296_similar_imprecise.png,"[True, True, True]",black male adult,True
